serie,formulario,seccion,nivel_atencion,anchor_codigo,col,etiqueta,dimension,grupo_edad,sexo,es_65mas,equidad
P,P6,A.1_APS,atencion_primaria,P6222300,Col01,Total ambos sexos,total,,Ambos,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col02,Total hombres,total,,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col03,Total mujeres,total,,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col04,0-4 anios Hombres,edad_sexo,0-4,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col05,0-4 anios Mujeres,edad_sexo,0-4,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col06,5-9 anios Hombres,edad_sexo,5-9,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col07,5-9 anios Mujeres,edad_sexo,5-9,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col08,10-14 anios Hombres,edad_sexo,10-14,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col09,10-14 anios Mujeres,edad_sexo,10-14,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col10,15-19 anios Hombres,edad_sexo,15-19,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col11,15-19 anios Mujeres,edad_sexo,15-19,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col12,20-24 anios Hombres,edad_sexo,20-24,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col13,20-24 anios Mujeres,edad_sexo,20-24,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col14,25-29 anios Hombres,edad_sexo,25-29,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col15,25-29 anios Mujeres,edad_sexo,25-29,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col16,30-34 anios Hombres,edad_sexo,30-34,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col17,30-34 anios Mujeres,edad_sexo,30-34,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col18,35-39 anios Hombres,edad_sexo,35-39,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col19,35-39 anios Mujeres,edad_sexo,35-39,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col20,40-44 anios Hombres,edad_sexo,40-44,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col21,40-44 anios Mujeres,edad_sexo,40-44,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col22,45-49 anios Hombres,edad_sexo,45-49,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col23,45-49 anios Mujeres,edad_sexo,45-49,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col24,50-54 anios Hombres,edad_sexo,50-54,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col25,50-54 anios Mujeres,edad_sexo,50-54,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col26,55-59 anios Hombres,edad_sexo,55-59,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col27,55-59 anios Mujeres,edad_sexo,55-59,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col28,60-64 anios Hombres,edad_sexo,60-64,Hombres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col29,60-64 anios Mujeres,edad_sexo,60-64,Mujeres,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col30,65-69 anios Hombres,edad_sexo,65-69,Hombres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col31,65-69 anios Mujeres,edad_sexo,65-69,Mujeres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col32,70-74 anios Hombres,edad_sexo,70-74,Hombres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col33,70-74 anios Mujeres,edad_sexo,70-74,Mujeres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col34,75-79 anios Hombres,edad_sexo,75-79,Hombres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col35,75-79 anios Mujeres,edad_sexo,75-79,Mujeres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col36,80+ anios Hombres,edad_sexo,80+,Hombres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col37,80+ anios Mujeres,edad_sexo,80+,Mujeres,si,
P,P6,A.1_APS,atencion_primaria,P6222300,Col38,Gestantes,marginal,,,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col39,Madre hijo<5 anios,marginal,,,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col40,Pueblos Originarios Hombres,marginal,,,,pueblos_originarios
P,P6,A.1_APS,atencion_primaria,P6222300,Col41,Pueblos Originarios Mujeres,marginal,,,,pueblos_originarios
P,P6,A.1_APS,atencion_primaria,P6222300,Col42,Migrantes Hombres,marginal,,,,migrantes
P,P6,A.1_APS,atencion_primaria,P6222300,Col43,Migrantes Mujeres,marginal,,,,migrantes
P,P6,A.1_APS,atencion_primaria,P6222300,Col44,NNAJ SENAME,marginal,,,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col45,NNAJ Mejor Ninez,marginal,,,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col46,Plan Cuidado Integral,marginal,,,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col47,TRANS Masculino,marginal,,,,
P,P6,A.1_APS,atencion_primaria,P6222300,Col48,TRANS Femenino,marginal,,,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col01,Total ambos sexos,total,,Ambos,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col02,Total hombres,total,,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col03,Total mujeres,total,,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col04,0-4 anios Hombres,edad_sexo,0-4,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col05,0-4 anios Mujeres,edad_sexo,0-4,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col06,5-9 anios Hombres,edad_sexo,5-9,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col07,5-9 anios Mujeres,edad_sexo,5-9,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col08,10-14 anios Hombres,edad_sexo,10-14,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col09,10-14 anios Mujeres,edad_sexo,10-14,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col10,15-19 anios Hombres,edad_sexo,15-19,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col11,15-19 anios Mujeres,edad_sexo,15-19,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col12,20-24 anios Hombres,edad_sexo,20-24,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col13,20-24 anios Mujeres,edad_sexo,20-24,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col14,25-29 anios Hombres,edad_sexo,25-29,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col15,25-29 anios Mujeres,edad_sexo,25-29,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col16,30-34 anios Hombres,edad_sexo,30-34,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col17,30-34 anios Mujeres,edad_sexo,30-34,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col18,35-39 anios Hombres,edad_sexo,35-39,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col19,35-39 anios Mujeres,edad_sexo,35-39,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col20,40-44 anios Hombres,edad_sexo,40-44,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col21,40-44 anios Mujeres,edad_sexo,40-44,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col22,45-49 anios Hombres,edad_sexo,45-49,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col23,45-49 anios Mujeres,edad_sexo,45-49,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col24,50-54 anios Hombres,edad_sexo,50-54,Hombres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col25,50-54 anios Mujeres,edad_sexo,50-54,Mujeres,,
P,P6,B.1_Especialidad,especialidad,P6223310,Col26,55-59 anios Hombres,edad_sexo,55-59,Hombres,,
