cod_comuna,pob_65mas,esperados_ine,esperados_pub,cobertura_publica,tramo_a_pct,bajo_control_65,prop_rural,esperados,denominador,tasa_deteccion,brecha,zona,celda_pequena,tasa_deteccion_pub,brecha_pub,lisa_cluster,lisa_p
10402,482,43,5,0.108359133126935,20.2,6,0.2917,5,FONASA_publico,1.2,0,mixto,FALSE,1.2,0,alto-alto,0
10404,360,34,3,0.0815533980582524,18.3,6,0.3717,3,FONASA_publico,2,0,mixto,FALSE,2,0,alto-alto,0
11102,176,20,1,0.0284552845528455,0,1,1,1,FONASA_publico,1,0,rural,TRUE,,,alto-alto,0
11402,603,76,3,0.0354957160342717,10.7,7,1,3,FONASA_publico,2.33333333333333,0,rural,FALSE,2.33333333333333,0,ns,0.7447
15102,274,32,1,0.0236842105263158,45.2,1,1,1,FONASA_publico,1,0,rural,TRUE,,,ns,0.5011
06112,2603,214,72,0.338185890257559,11.2,62,0.1616,72,FONASA_publico,0.861111111111111,0.138888888888889,mixto,FALSE,0.861111111111111,0.138888888888889,ns,0.586
16201,2578,238,21,0.0872365339578454,18.5,12,0.1829,21,FONASA_publico,0.571428571428571,0.428571428571429,mixto,FALSE,0.571428571428571,0.428571428571429,ns,0.5315
04203,4116,364,132,0.363914924297044,25.2,48,0.2005,132,FONASA_publico,0.363636363636364,0.636363636363636,mixto,FALSE,0.363636363636364,0.636363636363636,ns,0.6739
10401,755,79,20,0.254625550660793,22.8,7,0.676,20,FONASA_publico,0.35,0.65,rural,FALSE,0.35,0.65,alto-alto,0
05201,681,41,,,,13,0.0552,41,INE_total,0.317073170731707,0.682926829268293,urbano,FALSE,0.317073170731707,0.682926829268293,,
08313,4802,468,417,0.89041095890411,19.7,124,0.4004,417,FONASA_publico,0.297362110311751,0.70263788968825,rural,FALSE,0.297362110311751,0.70263788968825,ns,0.858
11202,695,63,40,0.634825870646766,16.3,11,0.3687,40,FONASA_publico,0.275,0.725,mixto,FALSE,0.275,0.725,alto-alto,0
10301,26908,2320,2128,0.917159290621505,16.8,575,,2128,FONASA_publico,0.270206766917293,0.729793233082707,,FALSE,0.270206766917293,0.729793233082707,ns,0.9354
03304,1833,141,104,0.739347408829175,20,27,0.1229,104,FONASA_publico,0.259615384615385,0.740384615384615,mixto,FALSE,0.259615384615385,0.740384615384615,ns,0.6333
02102,1218,75,,,,18,0.0381,75,INE_total,0.24,0.76,urbano,FALSE,0.24,0.76,ns,0.5331
12101,21689,1637,1390,0.848883440461202,10.2,310,0.043,1390,FONASA_publico,0.223021582733813,0.776978417266187,urbano,FALSE,0.223021582733813,0.776978417266187,ns,0.5649
16109,3710,357,128,0.357478065700877,14.3,27,0.2521,128,FONASA_publico,0.2109375,0.7890625,mixto,FALSE,0.2109375,0.7890625,ns,0.8446
07308,5238,555,532,0.959425890146288,12.4,108,0.6704,532,FONASA_publico,0.203007518796992,0.796992481203008,rural,FALSE,0.203007518796992,0.796992481203008,ns,0.7006
08303,4944,429,429,1,17.3,86,0.2453,429,FONASA_publico,0.2004662004662,0.7995337995338,mixto,FALSE,0.2004662004662,0.7995337995338,ns,0.3739
14102,1079,104,64,0.619631901840491,19.5,12,0.3435,64,FONASA_publico,0.1875,0.8125,mixto,FALSE,0.1875,0.8125,ns,0.7036
08107,7852,560,560,1,16.1,99,0.0099,560,FONASA_publico,0.176785714285714,0.823214285714286,urbano,FALSE,0.176785714285714,0.823214285714286,ns,0.9235
13122,34291,2620,2304,0.879327870552847,17.8,386,,2304,FONASA_publico,0.167534722222222,0.832465277777778,,FALSE,0.167534722222222,0.832465277777778,ns,0.8436
11203,171,12,0,0.00413223140495868,8.3,2,0.0749,12,INE_total,0.166666666666667,0.833333333333333,urbano,TRUE,,,,
05503,2904,266,266,1,19.7,42,0.3476,266,FONASA_publico,0.157894736842105,0.842105263157895,mixto,FALSE,0.157894736842105,0.842105263157895,ns,0.655
06203,1433,141,76,0.541992696922274,17.2,12,0.4649,76,FONASA_publico,0.157894736842105,0.842105263157895,rural,FALSE,0.157894736842105,0.842105263157895,ns,0.5874
13107,13734,925,786,0.849363507779349,17.7,123,0.001,786,FONASA_publico,0.156488549618321,0.84351145038168,urbano,FALSE,0.156488549618321,0.84351145038168,ns,0.9751
06303,6183,587,335,0.571010762751521,12.1,52,0.4213,335,FONASA_publico,0.155223880597015,0.844776119402985,rural,FALSE,0.155223880597015,0.844776119402985,ns,0.8713
04302,3296,370,187,0.506499645473883,17.5,29,0.5498,187,FONASA_publico,0.155080213903743,0.844919786096257,rural,FALSE,0.155080213903743,0.844919786096257,ns,0.7831
10207,943,104,86,0.830638953040801,21.6,13,0.5686,86,FONASA_publico,0.151162790697674,0.848837209302326,rural,FALSE,0.151162790697674,0.848837209302326,ns,0.847
06103,1569,161,,,,24,0.5347,161,INE_total,0.149068322981366,0.850931677018633,rural,FALSE,0.149068322981366,0.850931677018633,ns,0.4679
10210,1574,168,129,0.768026565464896,25.4,19,0.6032,129,FONASA_publico,0.147286821705426,0.852713178294574,rural,FALSE,0.147286821705426,0.852713178294574,ns,0.7262
13123,29572,2592,1657,0.639124668435013,7.2,244,0,1657,FONASA_publico,0.147254073627037,0.852745926372963,urbano,FALSE,0.147254073627037,0.852745926372963,ns,0.9344
10306,1724,204,204,1,32.9,30,0.8442,204,FONASA_publico,0.147058823529412,0.852941176470588,rural,FALSE,0.147058823529412,0.852941176470588,ns,0.9003
04303,5505,588,588,1,17.4,85,0.5012,588,FONASA_publico,0.144557823129252,0.855442176870748,rural,FALSE,0.144557823129252,0.855442176870748,ns,0.7184
11301,511,42,42,1,16.4,6,0.186,42,FONASA_publico,0.142857142857143,0.857142857142857,mixto,FALSE,0.142857142857143,0.857142857142857,ns,0.5739
05102,4770,458,338,0.737567776917119,9.5,48,0.33,338,FONASA_publico,0.142011834319527,0.857988165680473,mixto,FALSE,0.142011834319527,0.857988165680473,ns,0.5162
05301,10829,856,719,0.839946380697051,9.9,100,0.0853,719,FONASA_publico,0.139082058414465,0.860917941585536,urbano,FALSE,0.139082058414465,0.860917941585536,ns,0.6615
06310,7365,720,711,0.987101289871013,14.9,98,0.3971,711,FONASA_publico,0.137834036568214,0.862165963431786,mixto,FALSE,0.137834036568214,0.862165963431786,ns,0.5799
08108,17978,1273,968,0.76010844306739,17.3,133,9e-04,968,FONASA_publico,0.137396694214876,0.862603305785124,urbano,FALSE,0.137396694214876,0.862603305785124,ns,0.9711
13113,17347,1381,780,0.564990961521908,9.2,106,0,780,FONASA_publico,0.135897435897436,0.864102564102564,urbano,FALSE,0.135897435897436,0.864102564102564,ns,0.8491
13117,17837,1287,1287,1,17.8,171,0,1287,FONASA_publico,0.132867132867133,0.867132867132867,urbano,FALSE,0.132867132867133,0.867132867132867,ns,0.8103
09205,1812,199,127,0.638732959101844,30,16,0.6306,127,FONASA_publico,0.125984251968504,0.874015748031496,rural,FALSE,0.125984251968504,0.874015748031496,ns,0.6993
16107,4376,427,409,0.958419599723948,19.8,51,0.4039,409,FONASA_publico,0.124694376528117,0.875305623471883,rural,FALSE,0.124694376528117,0.875305623471883,ns,0.7188
13102,12313,936,746,0.797540935153987,18.9,93,0,746,FONASA_publico,0.124664879356568,0.875335120643432,urbano,FALSE,0.124664879356568,0.875335120643432,ns,0.854
16106,2426,241,241,1,22.4,30,0.4959,241,FONASA_publico,0.12448132780083,0.87551867219917,rural,FALSE,0.12448132780083,0.87551867219917,ns,0.9299
06204,1692,177,89,0.502931889941362,13.2,11,0.5456,89,FONASA_publico,0.123595505617978,0.876404494382023,rural,FALSE,0.123595505617978,0.876404494382023,ns,0.7372
09206,1469,146,146,1,22.6,18,0.3919,146,FONASA_publico,0.123287671232877,0.876712328767123,mixto,FALSE,0.123287671232877,0.876712328767123,ns,0.6553
08310,748,57,57,1,19.5,7,0.148,57,FONASA_publico,0.12280701754386,0.87719298245614,mixto,FALSE,0.12280701754386,0.87719298245614,ns,0.8061
04204,5147,511,288,0.564502164502165,16.5,35,0.4274,288,FONASA_publico,0.121527777777778,0.878472222222222,rural,FALSE,0.121527777777778,0.878472222222222,ns,0.9045
06116,4296,391,367,0.937685459940653,10.2,44,0.4178,367,FONASA_publico,0.119891008174387,0.880108991825613,rural,FALSE,0.119891008174387,0.880108991825613,ns,0.7829
05701,12900,1062,819,0.770808678500986,12.6,96,0.094,819,FONASA_publico,0.117216117216117,0.882783882783883,urbano,FALSE,0.117216117216117,0.882783882783883,ns,0.8
13116,14296,1149,1149,1,20.5,134,0,1149,FONASA_publico,0.116623150565709,0.883376849434291,urbano,FALSE,0.116623150565709,0.883376849434291,ns,0.9269
08112,16155,1239,1182,0.953617388931836,12.7,137,0.0086,1182,FONASA_publico,0.11590524534687,0.88409475465313,urbano,FALSE,0.11590524534687,0.88409475465313,ns,0.9901
13127,30014,2473,1767,0.714429744749914,21.2,204,,1767,FONASA_publico,0.115449915110357,0.884550084889644,,FALSE,0.115449915110357,0.884550084889644,ns,0.8686
05702,2602,256,252,0.984844152130398,17,29,0.4418,252,FONASA_publico,0.115079365079365,0.884920634920635,rural,FALSE,0.115079365079365,0.884920634920635,ns,0.7595
13401,37528,2878,2555,0.887886290692343,17.8,292,,2555,FONASA_publico,0.114285714285714,0.885714285714286,,FALSE,0.114285714285714,0.885714285714286,ns,0.651
06304,1688,189,149,0.789835164835165,12,17,0.6434,149,FONASA_publico,0.114093959731544,0.885906040268456,rural,FALSE,0.114093959731544,0.885906040268456,ns,0.7737
03202,1352,91,71,0.774976213130352,6.4,8,0.0481,71,FONASA_publico,0.112676056338028,0.887323943661972,urbano,FALSE,0.112676056338028,0.887323943661972,ns,0.8024
10303,4054,379,379,1,16.3,42,0.2929,379,FONASA_publico,0.110817941952507,0.889182058047494,mixto,FALSE,0.110817941952507,0.889182058047494,ns,0.7915
10302,1466,159,146,0.916119962511715,17,16,0.7719,146,FONASA_publico,0.10958904109589,0.89041095890411,rural,FALSE,0.10958904109589,0.89041095890411,ns,0.8754
05604,4924,388,356,0.916812192411494,21.8,39,0.0682,356,FONASA_publico,0.109550561797753,0.890449438202247,urbano,FALSE,0.109550561797753,0.890449438202247,ns,0.8158
12401,4115,324,283,0.874191229331416,12.8,31,0.107,283,FONASA_publico,0.109540636042403,0.890459363957597,mixto,FALSE,0.109540636042403,0.890459363957597,ns,0.359
09103,3971,410,333,0.812104960735491,20.9,35,0.4952,333,FONASA_publico,0.105105105105105,0.894894894894895,rural,FALSE,0.105105105105105,0.894894894894895,ns,0.4643
08201,3950,317,238,0.752045535396656,28.6,25,0.0801,238,FONASA_publico,0.105042016806723,0.894957983193277,urbano,FALSE,0.105042016806723,0.894957983193277,ns,0.7011
08301,32153,2716,2660,0.979348366397036,17.4,279,,2660,FONASA_publico,0.104887218045113,0.895112781954887,,FALSE,0.104887218045113,0.895112781954887,ns,0.6394
08305,5353,470,439,0.934081152194987,20.1,46,0.1849,439,FONASA_publico,0.104783599088838,0.895216400911162,mixto,FALSE,0.104783599088838,0.895216400911162,ns,0.6613
13106,31097,2752,1199,0.43578197934839,24.5,124,,1199,FONASA_publico,0.103419516263553,0.896580483736447,,FALSE,0.103419516263553,0.896580483736447,ns,0.9511
11201,3123,249,195,0.784318234076799,18.7,20,0.1524,195,FONASA_publico,0.102564102564103,0.897435897435897,mixto,FALSE,0.102564102564103,0.897435897435897,alto-alto,0
