cod_estab,nombre,tipo,comuna,cod_comuna,nivel,lat,lon,inscritos_60,esperados,bajo_control_65,deteccion
101300,Centro de Salud Familiar Víctor Bertín Soto,Centro de Salud Familiar (CESFAM),Arica,15101,Primario,-18.47684,-70.29603,7673,537.11,21,0.0390981363221686
101302,Centro de Salud Familiar Dr. Amador Neghme de Arica,Centro de Salud Familiar (CESFAM),Arica,15101,Primario,-18.43766,-70.29081,5905,413.35,33,0.0798354905044151
101303,Centro de Salud Familiar E.U. Iris Veliz Hume (Ex Oriente),Centro de Salud Familiar (CESFAM),Arica,15101,Primario,-18.48392,-70.28242,7902,553.14,64,0.115703076978703
101304,Centro de Salud Familiar Putre,Centro de Salud Familiar (CESFAM),Putre,15201,Primario,-18.19761,-69.55734,4,0.28,0,
101305,Centro de Salud Familiar Remigio Sapunar Marín,Centro de Salud Familiar (CESFAM),Arica,15101,Primario,-18.48023,-70.30818,9582,670.74,54,0.0805080955362734
101306,Centro de Salud Ambiental de Arica,Otro,Arica,15101,Primario,-18.483419,-70.316845,1,0.07,0,
101307,Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte),Centro de Salud Familiar (CESFAM),Arica,15101,Primario,-18.42689,-70.29055,5296,370.72,23,0.0620414328873543
101400,Posta de Salud Rural San Miguel de Azapa,Posta de Salud Rural (PSR),Arica,15101,Primario,-18.51829,-70.17858,722,50.54,2,0.0395726157499011
101401,Posta de Salud Rural Poconchile,Posta de Salud Rural (PSR),Arica,15101,Primario,-18.45246,-70.06734,177,12.39,0,0
101404,Posta de Salud Rural Visviri,Posta de Salud Rural (PSR),General Lagos,15202,Primario,-17.59487,-69.48047,,,1,
101406,Posta de Salud Rural Codpa,Posta de Salud Rural (PSR),Camarones,15102,Primario,-18.83323,-69.74486,9,0.63,1,
101408,Posta de Salud Rural Sobraya,Posta de Salud Rural (PSR),Arica,15101,Primario,-18.57422,-70.05582,127,8.89,0,0
101702,Centro Comunitario de Salud Familiar Dr. Miguel Massa Sassi,Centro Comunitario de Salud Familiar (CECOSF),Arica,15101,Primario,-18.43587,-70.28904,404,28.28,1,0.0353606789250354
101703,Centro Comunitario de Salud Familiar Dr. René García Valenzuela,Centro Comunitario de Salud Familiar (CECOSF),Arica,15101,Primario,-18.45908,-70.28075,348,24.36,6,0.246305418719212
101704,Centro Comunitario de Salud Familiar Cerro La Cruz,Centro Comunitario de Salud Familiar (CECOSF),Arica,15101,Primario,-18.49486,-70.31259,811,56.77,3,0.052844812400916
102300,Centro de Salud Familiar Cirujano Aguirre,Centro de Salud Familiar (CESFAM),Iquique,01101,Primario,-20.22626,-70.13466,9169,641.83,10,0.015580449651777
102301,Centro de Salud Familiar Cirujano Videla,Centro de Salud Familiar (CESFAM),Iquique,01101,Primario,-20.20964,-70.14367,7448,521.36,4,0.00767224182906245
102302,Centro de Salud Familiar Cirujano Guzmán,Centro de Salud Familiar (CESFAM),Iquique,01101,Primario,-20.23686,-70.13644,7338,513.66,0,0
102303,Centro de Salud Familiar Pozo Almonte,Centro de Salud Familiar (CESFAM),Pozo Almonte,01401,Primario,-20.26129,-69.78268,1897,132.79,8,0.0602455004141878
102304,Centro de Salud Familiar Dr. Juan Márquez Vismarra,Centro de Salud Familiar (CESFAM),Pica,01405,Primario,-20.48937173,-69.33389651,1434,100.38,9,0.0896592946802152
