serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Posta de Salud Rural (PSR),Primario,661,7932,2166,1.3,689,72.7
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Centro de Salud Familiar (CESFAM),Primario,593,7116,5864,2.8,9896,17.6
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Centro Comunitario de Salud Familiar (CECOSF),Primario,215,2580,1308,1.6,695,49.3
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Hospital,"",60,720,543,2.3,626,24.6
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Hospital,Primario,18,216,168,1.9,154,22.2
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Consultorio General Rural (CGR),Primario,12,144,74,1.4,38,48.6
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Hospital,Terciario,5,60,56,2.3,83,6.7
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Consultorio General Urbano (CGU),Primario,2,24,24,1.7,24,0
A,domiciliaria_padds,26411010,Dep. severa por condiciones asociadas (TOTAL del eje),Clínica Dental,Primario,1,12,7,,0,41.7
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Centro de Salud Familiar (CESFAM),Primario,566,6792,3973,2,4680,41.5
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Posta de Salud Rural (PSR),Primario,380,4560,812,1.2,285,82.2
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Centro Comunitario de Salud Familiar (CECOSF),Primario,169,2028,581,1.3,314,71.4
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Hospital,"",55,660,233,2,203,64.7
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Hospital,Primario,14,168,75,1.6,49,55.4
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Consultorio General Rural (CGR),Primario,11,132,52,1.4,26,60.6
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Hospital,Terciario,8,96,38,2.4,33,60.4
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Consultorio General Urbano (CGU),Primario,2,24,14,1.2,11,41.7
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Clínica Dental,Primario,1,12,2,,0,83.3
A,domiciliaria_padds,26411011,Familia dep. severa terminal (excl. estadios avanzados de demencia),Centro de Diagnóstico y Terapeútico,Secundario,1,12,4,,0,66.7
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Posta de Salud Rural (PSR),Primario,812,9744,3785,1.4,1404,61.2
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Centro de Salud Familiar (CESFAM),Primario,598,7176,6507,4.2,20595,9.3
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Centro Comunitario de Salud Familiar (CECOSF),Primario,238,2856,1812,1.9,1443,36.6
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Hospital,"",62,744,600,3.2,1153,19.4
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Hospital,Primario,18,216,184,2.1,253,14.8
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Consultorio General Rural (CGR),Primario,12,144,117,1.8,92,18.8
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Hospital,Terciario,8,96,70,2.7,129,27.1
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Consultorio General Urbano (CGU),Primario,2,24,24,2.8,51,0
A,domiciliaria_padds,26411012,Familia dep. severa SIN diagnostico de demencia,Clínica Dental,Primario,2,24,11,8.7,26,54.2
