cod_comuna,pob_60mas,pob_65mas,demencia_esperada_60,demencia_esperada_65,fonasa_60mas,tramo_a_pct,cobertura_publica,demencia_esperada_65_pub
01101,38976,27424,2297,2159,34447,22.1,0.883800287356322,1908
01107,12650,8130,550,506,14605,37.1,1,506
01401,2796,1950,181,169,2837,29.5,1,169
01402,353,279,39,37,160,47.6,0.453257790368272,17
01403,413,321,39,36,222,45.2,0.537530266343826,19
01404,777,596,63,60,512,45.8,0.658944658944659,40
01405,1458,1121,120,114,1542,32,1,114
02101,62063,42160,3395,3156,52957,18.8,0.853278120619371,2693
02102,1899,1218,82,75,,,,
02103,167,111,14,12,1,0,0.00598802395209581,0
02104,2399,1633,136,127,2,18.2,0.000833680700291788,0
02201,24802,16256,1252,1149,19739,16.1,0.795863236835739,914
02202,41,32,4,4,,10,,
02203,1361,940,99,91,1494,18.5,1,91
02301,5205,3619,264,249,3752,24.2,0.720845341018252,179
02302,826,464,35,30,14,5.8,0.0169491525423729,1
03101,29733,20615,1729,1620,25760,16.9,0.866377425755894,1404
03102,3938,2669,209,194,4345,20.6,1,194
03103,2294,1552,137,127,2962,19,1,127
03201,2654,1905,152,143,2743,18.3,1,143
03202,2102,1352,98,91,1629,6.4,0.774976213130352,71
03301,12401,9017,755,717,10988,20.2,0.886057576001935,635
03302,1605,1212,166,156,1313,19.2,0.818068535825545,128
03303,1747,1283,122,115,1906,20.4,1,115
03304,2605,1833,150,141,1926,20,0.739347408829175,104
04101,52457,38068,3441,3268,48269,14.5,0.92016318127228,3007
04102,53203,38102,3373,3192,46914,16.9,0.88179238012894,2815
04103,2717,2045,177,170,,,,
04104,1092,801,88,82,419,30.5,0.383699633699634,31
04105,1173,889,127,119,690,12.6,0.588235294117647,70
04106,6629,4913,514,486,3683,15.4,0.555589078292352,270
04201,7867,5880,575,545,7664,17.8,0.974196008643701,531
04202,3018,2358,323,308,3091,19.5,1,308
04203,5548,4116,383,364,2019,25.2,0.363914924297044,132
04204,6930,5147,540,511,3912,16.5,0.564502164502165,288
04301,26050,19270,1862,1774,24854,15.8,0.954088291746641,1693
04302,4231,3296,387,370,2143,17.5,0.506499645473883,187
04303,7260,5505,619,588,7370,17.4,1,588
04304,3145,2390,256,243,3223,22.1,1,243
04305,1393,1067,148,139,1371,21.2,0.984206748025844,137
05101,73290,54493,5008,4782,64642,16.7,0.882003001773775,4218
05102,6455,4770,483,458,4761,9.5,0.737567776917119,338
05103,10090,7232,591,561,9409,12.7,0.932507433102081,523
05104,215,136,17,15,30,1.5,0.13953488372093,2
05105,5263,3899,341,325,5345,15.2,1,325
05107,8869,6565,571,544,6409,18.6,0.722629383245011,393
05109,91969,69510,6688,6419,68651,14.1,0.746458045645816,4792
05201,1096,681,45,41,,,,
05301,14920,10829,900,856,12532,9.9,0.839946380697051,719
05302,3479,2564,242,229,2967,14.5,0.852831273354412,195
05303,2288,1677,150,142,2558,14.7,1,142
05304,4519,3314,336,317,4125,11.9,0.912812569152467,289
05401,8898,6553,619,586,9228,17.9,1,586
05402,4509,3257,326,307,2045,15,0.453537369705034,139
05403,1498,1083,95,90,1840,12.1,1,90
05404,2652,1957,224,210,2195,16.6,0.827677224736048,174
05405,2059,1506,146,138,2321,10.9,1,138
05501,23081,16926,1527,1456,22419,16.7,0.971318400415926,1414
05502,12135,8867,730,698,11442,17,0.942892459826947,658
