cod_estab,nombre,tipo,comuna,cod_comuna,region,servicio_salud,zona,inscritos_60,bajo_control_65,deteccion,ef_registro,deficit,score,prioridad,lat,lon
113713,Centro Comunitario de Salud Familiar Ribera del Maipo,Centro Comunitario de Salud Familiar (CECOSF),San Bernardo,13401,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,,606,1,,-4.903,4.903,53.9,Alta,-33.64893,-70.66279
202205,CESFAM Cerro Colorado,Centro de Salud Familiar (CESFAM),Renca,13128,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,,670,0,,-4.798,4.798,53.5,Alta,-33.4021664,-70.7275645
109711,Centro Comunitario de Salud Familiar Sol de Septiembre,Centro Comunitario de Salud Familiar (CECOSF),Lampa,13302,Metropolitana de Santiago,Servicio de Salud Metropolitano Norte,mixto,887,0,,-4.534,4.534,52.8,Alta,-33.30489,-70.85303
113716,Centro Comunitario de Salud Familiar Rapa Nui,Centro Comunitario de Salud Familiar (CECOSF),San Bernardo,13401,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,,1221,1,,-3.9,3.9,47.5,Alta,-33.56323,-70.70594
200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Quilicura,13125,Metropolitana de Santiago,Servicio de Salud Metropolitano Norte,,433,3,,-4.442,4.442,46.2,Alta,-33.36393,-70.75859
200346,Centro Comunitario de Salud Familiar Buzeta,Centro Comunitario de Salud Familiar (CECOSF),Cerrillos,13102,Metropolitana de Santiago,Servicio de Salud Metropolitano Central,urbano,518,0,,-4.283,4.283,45.9,Alta,-33.477976,-70.689536
107327,Centro de Salud Familiar Las Torres,Centro de Salud Familiar (CESFAM),Viña del Mar,05109,Valparaíso,Servicio de Salud Viña del Mar Quillota,,3013,1,,-3.29,3.29,45.2,Alta,-33.04637,-71.53928
201086,Centro Comunitario de Salud Familiar Juan Pablo II de Rodelillo,Centro Comunitario de Salud Familiar (CECOSF),Valparaíso,05101,Valparaíso,Servicio de Salud Valparaíso San Antonio,,350,0,,-4.478,4.478,45,Alta,-33.062157,-71.563256
110783,Centro Comunitario de Salud Familiar Codigua,Centro Comunitario de Salud Familiar (CECOSF),Melipilla,13501,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,mixto,365,0,,-4.318,4.318,43.7,Alta,-33.76008,-71.32788
115438,Posta de Salud Rural Huemul (Chimbarongo),Posta de Salud Rural (PSR),Chimbarongo,06303,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,rural,151,1,,-3.828,3.828,42.9,Alta,-34.85294,-70.96929
111400,Centro Comunitario de Salud Familiar Rinconada de Maipú,Centro Comunitario de Salud Familiar (CECOSF),Maipú,13119,Metropolitana de Santiago,Servicio de Salud Metropolitano Central,,155,1,,-4.93,4.93,42.7,Alta,-33.51317,-70.82542
114401,Posta de Salud Rural Puntilla,Posta de Salud Rural (PSR),Pirque,13202,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,rural,385,0,,-3.195,3.195,42.4,Alta,-33.61969,-70.530209
110470,Posta de Salud Rural Las Mercedes ( María Pinto ),Posta de Salud Rural (PSR),Maria Pinto,13504,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,rural,373,0,,-3.213,3.213,42.4,Alta,-33.48836,-71.18518
102701,Centro Comunitario de Salud Familiar Cerro Esmeralda,Centro Comunitario de Salud Familiar (CECOSF),Iquique,01101,Tarapacá,Servicio de Salud Tarapacá,,675,1,,-3.725,3.725,41.6,Alta,-20.20896,-70.14054
200377,Centro Comunitario de Salud Familiar Las Hortensias,Centro Comunitario de Salud Familiar (CECOSF),San Bernardo,13401,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,,458,6,0.187149095446039,-3.9,3.9,41,Alta,-33.60213,-70.67051
112717,Centro Comunitario de Salud Familiar Dragones de La Reina,Centro Comunitario de Salud Familiar (CECOSF),La Reina,13113,Metropolitana de Santiago,Servicio de Salud Metropolitano Oriente,urbano,5244,0,,-2.783,2.783,40.9,Alta,-33.46059,-70.56223
110781,Centro Comunitario de Salud Familiar Obispo Pablo Lizama,Centro Comunitario de Salud Familiar (CECOSF),Melipilla,13501,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,mixto,245,0,,-4.318,4.318,40.8,Alta,-33.67893,-71.23202
115712,Centro Comunitario de Salud Familiar Guacarhue,Centro Comunitario de Salud Familiar (CECOSF),Quinta de Tilcoco,06114,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,rural,488,0,,-2.905,2.905,40.1,Alta,-34.35577,-71.0163
